English,Russian
understand,понять
wouldn't,не будет
actually,фактически
hear,слышать
baby,малыш
nice,отлично
father,отец
else,еще
stay,остаться
done,Выполнено
wasn't,не было
their,их
course,курс
might,мощь
mind,разум
every,каждый
enough,достаточно
try,пытаться
hell,ад
came,пришел
someone,кто то
you'll,ты будешь
own,собственный
family,семья
whole,весь
another,еще один
house or House,дом или дом
Jack or jack,Джек или Джек
yourself,самим собой
idea,идея
ask,спросить
best,Лучший
must,должен
coming,приходящий
old,старый
looking,Ищу
woman,женщина
hello,привет
which,который
years,годы
room,номер
money,Деньги
left,оставил
knew,знал
tonight,сегодня ночью
real,настоящий
son,сын
hope,надеяться
name,имя
same,такой же
went,шел
um,гм
hmm,хм
happy,счастливый
pretty,Симпатичная
saw,пила
girl,девочка
sir,сэр
show,показывать
friend,друг
already,уже
saying,высказывание
may or May,может или может
next,следующий
three,три
job,работа
problem,проблема
minute,минута
found,найденный
world,Мир
thinking,мышление
haven't,не
heard,слышал
honey,медовый
matter,иметь значение
myself,сам
couldn't,не мог
exactly,в яблочко
having,имея
ah,ах
probably,вероятно
happen,случаться
we've,Мы
hurt,повредить
boy,мальчик
both,оба
while,пока
dead,мертвых
gotta,Должен
alone,один
since,поскольку
excuse,извинение
start,Начало
kill,убийство
hard,жесткий
you'd,ты бы
today,Cегодня
car,автомобиль
ready,готовы
until,до того как
without,без
whatever,что бы ни
wants,хочет
hold,держать
wanna,хочу
yet,пока что
seen,видимый
deal,иметь дело
took,взял
once,однажды
gone,прошло
called,называется
morning,утро
supposed,предполагаемый
friends,друзья
head,глава
stuff,вещи
most,самый
used,использовал
worry,волноваться
second,второй
part,часть
live,жить
truth,правда
school,школа
face,лицо
forget,забывать
TRUE,ПРАВДА
business,бизнес
each,каждый
cause,причина
soon,скоро
knows,знает
few,несколько
telling,рассказывающий
wife,жена
who's,Кто
use,использовать
chance,шанс
run,бежать
move,шаг
anyone,кто угодно
person,человек
bye,до свидания
J.,J.
somebody,кто-то
Dr. or dr.,Доктор или доктор.
heart,сердце
such,такой
miss,скучать
married,женатый
point,точка
later,потом
making,изготовление
meet,встретиться
anyway,тем не мение
many,много
phone,Телефон
reason,причина
damn,проклятие
lost,потерял
looks,внешний вид
bring,приносить
case,кейс
turn,повернуть
wish,желание
tomorrow,завтра
kids,Дети
trust,доверять
check,Проверьте
change,сдача
end,конец
late,поздно
anymore,больше
five,пять
least,наименее
town,городок
aren't,не
ha,ха
working,работающий
year,год
makes,производит
taking,принимающий
means,означает
brother,брат
play,играть в
hate,ненавидеть
ago,назад
says,говорит
beautiful,красивая
gave,дал
fact,факт
crazy,псих
party,партия
sit,сидеть
open,открытым
afraid,боюсь
between,между
important,важный
rest,отдыхать
fun,весело
kid,ребенок
word,слово
watch,смотреть
glad,радостный
everyone,каждый
days,дни
sister,сестра
minutes,минуты
everybody,все
bit,кусочек
couple,пара
whoa,ох
either,либо
Mrs.,Миссис.
feeling,чувство
daughter,дочь
wow,Вот это да
gets,получает
asked,спросил
under,под
break,ломать
promise,обещать
door,дверь
set,установлен
close,Закрыть
hand,рука
easy,легкий
question,вопрос
doctor,доктор
tried,пытался
far,далеко
walk,ходить
needs,потребности
trouble,беда
mine,мой
though,хотя
times,времена
different,другой
killed,убитый
hospital,больница
anybody,любой
Sam or SAM,Сэм или Сэм
alright,хорошо
wedding,свадьба
shut,закрыть
able,способный
die,умереть
perfect,идеально
police,полиция
stand,стоять
comes,приходит
hit,хит
story,история
ya,я
mm,мм
waiting,ожидающий
dinner,обед
against,против
funny,смешной
husband,муж
almost,почти
stupid,глупый
pay,платить
answer,отвечать
four,четыре
office,офис
cool,Круто
eyes,глаза
news,Новости
child,ребенок
shouldn't,не должен
half,половина
side,сторона
yours,Ваш
moment,мгновенный
sleep,спать
read,читать
where's,где
started,начал
young,молодой
men,люди
sounds,звуки
sonny or Sonny,Сонни или Сонни
lucky,счастливый
pick,выбирать
sometimes,иногда
em,Эм
bed,кровать
also,также
date,свидание
line,линия
plan,план
hours,часы
lose,терять
fire,Огонь
free,свободно
hands,Руки
serious,серьезный
Leo,Лео
shit,дерьмо
behind,позади
inside,внутри
high,высокая
ahead,предстоящий
week,неделя
wonderful,замечательно
T.,Т.
fight,Борьба
past,мимо
cut,резать
quite,довольно
number,количество
he'll,ад
sick,больной
S.,С.
it'll,это будет
game,игра
eat,есть
nobody,никто
goes,идет
death,смерть
along,вместе
save,спасти
seems,кажется
finally,в конце концов
lives,жизни
worried,волновался
upset,расстройство
Theresa,Есть
Carly,Карли
Ethan,Итан
met,встретились
book,книга
brought,привел
seem,казаться
sort,Сортировать
safe,Безопасно
living,жизнь
children,дети
weren't,не было
leaving,уход
front,фронт
shot,выстрелил
loved,любил
asking,спрашивающий
running,Бег
clear,Чисто
figure,фигура
hot,горячий
felt,чувствовала
six,шесть
parents,родители
drink,напиток
absolutely,абсолютно
how's,Как
daddy,папочка
sweet,сладкий
alive,в живых
Paul,Павел
sense,смысл
meant,имел ввиду
happens,случается
David,Дэйвид
special,специальный
bet,держать пари
blood,кровь
ain't,нет
kidding,шутя
lie,ложь
full,полный
meeting,встреча
dear,Уважаемые
coffee,кофе
seeing,Видя
sound,звук
fault,вина
water,вода
fuck,Блядь
ten,10
women,женщины
John or john,Джон или Джон
welcome,добро пожаловать
buy,купить
months,месяцы
hour,час
speak,говорить
lady,леди
Jen,Джен
thinks,думает
Christmas,Рождество
body,тело
order,заказ
outside,вне
hang,вешать
possible,возможный
worse,худший
company,Компания
mistake,ошибка
ooh,ох
handle,справиться
spend,проводить
C.,C.
totally,полностью
giving,дающий
control,контроль
here's,вот
marriage,свадьба
realize,понимать
D.,Д.
power,сила
president,президент
unless,пока не
sex,секс
girls,девушки
send,Отправить
needed,нужный
O. or o,О. или О.
taken,взятый
died,умер
scared,напугана
picture,картина
talked,говорили
Jake,Джейк
Al,Ал
ass,жопа
hundred,сотня
changed,измененный
completely,полностью
explain,объяснять
playing,игра
certainly,безусловно
sign,знак
boys,мальчики
relationship,отношение
Michael,Майкл
loves,любит
fucking,чертовски
hair,волосы
lying,врущий
choice,выбор
anywhere,в любом месте
secret,секрет
future,будущее
weird,странный
luck,удача
she'll,оболочка
Max or max.,Макс или Макс.
Luis,Луис
turned,перевернутый
known,известен
touch,трогать
kiss,целовать
Crane or crane,Кран или кран
questions,вопросы
obviously,очевидно
wonder,удивляться
pain,боль
calling,вызов
somewhere,где-то
throw,бросать
straight,прямой
Grace or grace,Благодать или благодать
cold,холодно
white or White,белый или белый
fast,быстро
Natalie,Натали
words,слова
R.,Р.
food,еда
none,никто
drive,водить машину
feelings,чувства
they'll,они будут
worked,работал
marry,жениться
light,легкий
test,тест
drop,уронить
cannot,не может
Frank,Откровенный
sent,послал
city,город
dream,мечтать
protect,защищать
twenty,20
class,учебный класс
Lucy,Люси
surprise,Сюрприз
its,это
sweetheart,дорогой
forever,навсегда
poor,бедный
looked,смотрел
mad,без ума
except,кроме
gun,пистолет
y'know,ты знаешь
dance,танец
takes,принимает
appreciate,ценить
especially,особенно
situation,ситуация
besides,Помимо
weeks,недели
pull,тянуть
himself,сам
hasn't,нет
act,действовать
worth,стоит
Sheridan,Шеридан
amazing,удивительно
top,Топ
given,данный
expect,ожидать
Ben,Бен
rather,скорее
Julian,Джулиан
involved,вовлеченный
swear,ругаться
piece,кусок
busy,занятый
law,закон
decided,решенный
black or Black,черный или черный
Joey,Джои
happening,Происходит
movie,кино
we'd,обвенчались
catch,ловить
Antonio,Антонио
country,страна
less,меньше
perhaps,возможно
step,шаг
fall,падение
watching,наблюдая
kept,сохраняется
darling,дорогой
dog,собака
Ms.,РС.
win,победить
air,воздуха
honor,честь
personal,личный
moving,движущийся
till,пока
admit,признавать
problems,проблемы
murder,убийство
strong,сильный
he'd,Он будет
evil,зло
definitely,определенно
feels,чувствует себя
information,Информация
honest,честный
eye,глаз
broke,сломанный
missed,пропущенный
longer,дольше
dollars,доллары
tired,устала
Jason,Джейсон
George,Джордж
evening,вечер
human,человек
starting,начинающий
Ross,Росс
red,красный
entire,весь
trip,путешествие
Brooke,Брук
E.,E.
club,клуб
Niles,Найлс
suppose,предполагать
calm,спокойствие
imagine,представить
Todd,Тодд
fair,справедливый
caught,пойманный
B.,B.
blame,обвинять
street,улица
sitting,сидящий
favor,услуга
apartment,квартира
court,корт
terrible,ужасный
clean,чистый
Tony or tony,Тони или Тони
learn,учиться
Alison,Элисон
Rick,Рик
works,работает
Rose or rose,Роза или роза
Frasier,Фрейзер
relax,расслабляться
York,Йорк
million,миллион
charity,благотворительная деятельность
accident,несчастный случай
wake,будить
prove,доказывать
Danny,Дэнни
smart,умная
message,сообщение
missing,отсутствующий
forgot,забыли
small,маленький
interested,заинтересован
table,стол
nbsp,NBSP
become,стали
Craig,Крейг
mouth,рот
pregnant,беременная
middle,середина
Billy or billy,Билли или Билли
ring,звенеть
careful,осторожный
shall,должен
dude,чувак
team,команда
ride,поездка
figured,фигурный
wear,носить
shoot,стрелять
stick,палка
Ray or ray,Рэй или Рэй
follow,следить
Bo,Борьба
angry,злой
instead,вместо
buddy,приятель
write,записывать
stopped,остановился
early,рано
Angel or angel,Ангел или ангел
Nick or nick,Ник или Ник
ran,пробег
war,война
standing,стоящий
forgive,простить
jail,тюрьма
wearing,утомительный
Miguel,Мигель
ladies,дамы
kinda,как бы
lunch,обед
Cristian,Кристиан
eight,восемь
Greenlee,Гринли
gotten,получил
hoping,в надежде
Phoebe,Фиби
thousand,тысяча
ridge,хребет
music,Музыка
Luke,Люк
paper,бумага
tough,жесткий
tape,лента
Emily,Эмили
state,государство
count,считать
college,колледж
boyfriend,парень
proud,гордый
agree,соглашаться
birthday,день рождения
bill,законопроект
seven,Семь
they've,Они
Timmy,Тимми
history,история
share,Поделиться
offer,предложение
hurry,торопиться
ow,Оу
feet,ноги
wondering,интересный
simple,просто
decision,решение
building,строительство
ones,и
finish,финиш
voice,голос
herself,саму себя
Chris,Крис
would've,был бы
list,список
Kay,Кей
mess,беспорядок
deserve,заслуживать
evidence,доказательство
cute,милый
Jerry,Джерри
dress,платье
Richard,Ричард
interesting,интересно
Jesus,Иисус
James,Джеймс
hotel,отель
enjoy,наслаждаться
Ryan,Райан
Lindsay,Линдси
quiet,тихо
concerned,обеспокоенный
road,Дорога
Eve or eve,Ева или Ева
staying,остаться
short,короткая
M.,М.
beat,бить
sweetie,милый
mention,упомянуть
clothes,одежда
finished,законченный
fell,упал
neither,ни один
mmm,М-м-м
fix,исправить
Victor or victor,Виктор или Виктор
respect,уважать
spent,потраченный
prison,тюрьма
attention,внимание
holding,держа
calls,вызовы
near,около
surprised,удивлен
bar,бар
Beth,Бет
pass,проходить
keeping,сохранение
gift,подарок
hadn't,не было
putting,поставка
dark,темный
self,себя
owe,быть должным
using,с использованием
Nora,Нора
ice,лед
helping,Помощь
bitch,сука
normal,обычный
aunt,тетя
lawyer,юрист
apart,отдельно
certain,определенный
plans,планы
Jax,Джакс
girlfriend,любимая девушка
floor,пол
whether,будь то
everything's,все
present,подарок
earth,земной шар
private,частный
Jessica,Джессика
box,коробка
Dawson,Доусон
cover,покрытие
judge,судить
upstairs,вверх по лестнице
Alexis,Алексис
Shawn,Шон
sake,сакэ
mommy,мама
possibly,возможно
